<DATE_TIME>,event_id,forecast_value,actual_value,impact_type
2024-01-02 11:15:00,724500001,45700000,46200000,1
2024-01-02 11:45:00,380500001,44600000,45300000,1
2024-01-02 11:50:00,250500001,42000000,42100000,1
2024-01-02 11:55:00,276500001,43100000,43300000,1
2024-01-02 12:00:00,999010018,-800000,-900000,2
2024-01-02 12:00:00,999010019,400000,500000,1
2024-01-02 12:00:00,999010026,200000,0,2
2024-01-02 12:00:00,999500001,44200000,44400000,1
2024-01-03 11:55:00,276060001,-9000000,5000000,2
2024-01-03 11:55:00,276060002,5800000,5900000,2
2024-01-03 11:55:00,276060003,2619000,2637000,2
2024-01-03 11:55:00,276060004,2727000,2703000,1
2024-01-04 10:45:00,250010001,600000,100000,2
2024-01-04 10:45:00,250010002,3600000,3700000,1
2024-01-04 10:45:00,250010003,-100000,100000,1
2024-01-04 10:45:00,250010004,4000000,4100000,1
2024-01-04 11:15:00,724500002,51100000,51500000,1
2024-01-04 11:45:00,380500002,48600000,49800000,1
2024-01-04 11:50:00,250500002,44300000,45700000,1
2024-01-04 11:50:00,250500003,43700000,44800000,1
2024-01-04 11:55:00,276500002,48400000,47400000,2
2024-01-04 11:55:00,276500003,46700000,47400000,1
2024-01-04 12:00:00,999500002,48100000,48800000,1
2024-01-04 12:00:00,999500003,47000000,47600000,1
2024-01-04 16:00:00,276010020,-200000,100000,1
2024-01-04 16:00:00,276010021,3200000,3700000,1
2024-01-04 16:00:00,276010022,-400000,200000,1
2024-01-04 16:00:00,276010023,2400000,3800000,1
2024-01-05 10:00:00,276010016,100000,-2500000,2
2024-01-05 10:00:00,276010017,-900000,-2400000,2
2024-01-05 12:00:00,380010024,7300000,5000000,2
2024-01-05 13:00:00,999030005,100000,-300000,2
2024-01-05 13:00:00,999030006,-4700000,-8800000,2
2024-01-05 13:00:00,999030010,-400000,400000,1
2024-01-05 13:00:00,999030011,-100000,200000,1
2024-01-05 13:00:00,999030013,1900000,2900000,1
2024-01-05 13:00:00,999030024,-400000,300000,1
2024-01-05 13:00:00,999030025,4100000,3900000,2
2024-01-08 10:00:00,276010001,300000,3700000,1
2024-01-08 10:00:00,276010002,700000,1900000,2
2024-01-08 10:00:00,276010007,17100000,20400000,1
2024-01-08 10:00:00,276010025,15700000,22000000,1
2024-01-08 10:00:00,276010018,400000,300000,2
2024-01-08 10:00:00,276010019,-5800000,-4400000,1
2024-01-08 12:30:00,999060001,-25000000,-15800000,1
2024-01-08 13:00:00,999040003,-9400000,-9200000,1
2024-01-08 13:00:00,999040004,4700000,8400000,1
2024-01-08 13:00:00,999040005,93400000,96400000,1
2024-01-08 13:00:00,999040006,-15100000,-15000000,1
2024-01-08 13:00:00,999040007,18000000,10500000,2
2024-01-08 13:00:00,999040008,1600000,3200000,1
2024-01-08 13:00:00,999030003,100000,-300000,2
2024-01-08 13:00:00,999030004,-2000000,-1100000,1
2024-01-08 14:00:00,724080001,-13900000,-6800000,1
2024-01-09 10:00:00,276010010,-100000,-700000,2
2024-01-09 10:00:00,276010011,-3600000,-4800000,2
2024-01-09 10:45:00,250050003,-8814000,-5943000,1
2024-01-09 12:00:00,380010022,7600000,7500000,1
2024-01-09 13:00:00,999030020,6600000,6400000,1
2024-01-10 10:45:00,250010009,0,500000,1
2024-01-10 12:00:00,380010014,-200000,400000,1
2024-01-10 12:00:00,380010015,2300000,1500000,2
2024-01-11 12:00:00,380010005,700000,-1500000,2
2024-01-11 12:00:00,380010006,700000,-3100000,2
2024-01-11 16:30:00,276010024,21700000,30800000,1
2024-01-12 10:45:00,250010008,100000,700000,1
2024-01-15 10:00:00,276010012,-100000,-600000,2
2024-01-15 10:00:00,276010013,-3300000,-2600000,1
2024-01-15 12:00:00,380010007,2890000,3889000,1
2024-01-15 13:00:00,999030007,100000,-300000,2
2024-01-15 13:00:00,999030008,-5500000,-6800000,2
2024-01-15 13:00:00,999030018,10100000,14800000,1
2024-01-15 13:00:00,999030019,6700000,20300000,1
2024-01-16 12:00:00,380010004,600000,500000,2
2024-01-16 12:00:00,380010025,-100000,200000,1
2024-01-17 13:00:00,999030010,400000,500000,1
2024-01-17 13:00:00,999030021,-400000,200000,1
2024-01-17 13:00:00,999030022,1100000,2800000,1
2024-01-18 12:00:00,999010016,8900000,24600000,1
2024-01-18 12:00:00,724070001,-4630000,-2426000,1
2024-01-18 13:00:00,999030014,-200000,-1000000,2
2024-01-18 13:00:00,999030015,-100000,-2200000,2
2024-01-19 10:00:00,276010014,-200000,-1200000,2
